Roll,positive_marks,negative_marks,total_marks
1401ME35,100,3,97/112
1401CS32,92,0,92/112
1401CB26,100,1,99/112
1401CE14,84,0,84/112
1401CS72,76,6,70/112
1401EE23,76,4,72/112
1401CE40,92,5,87/112
1401CE53,84,1,83/112
1401EE05,60,6,54/112
1401CB59,92,1,91/112
1401ME78,76,3,73/112
1401CS34,96,2,94/112
1401ME36,72,3,69/112
1401ME09,48,0,48/112
1401CB57,88,0,88/112
1401CS28,36,4,32/112
1401CS12,108,0,108/112
1401CS21,76,1,75/112
1401CS33,68,1,67/112
1401CS06,68,5,63/112
1401ME53,32,1,31/112
1401ME21,72,2,70/112
1401CS38,100,0,100/112
1401ME03,68,1,67/112
1401ME72,80,3,77/112
1401EE81,56,3,53/112
1401CB49,72,7,65/112
1401CB36,60,13,47/112
1401EE13,72,2,70/112
1401CS41,72,1,71/112
1401ME18,64,4,60/112
1401ME23,88,5,83/112
1401MM11,40,1,39/112
1401ME79,72,0,72/112
1401CE56,92,4,88/112
1401ME30,88,2,86/112
1401EE14,56,1,55/112
1401CE63,88,3,85/112
1401CB34,36,3,33/112
1401CB38,80,7,73/112
1401ME04,68,2,66/112
1401CB46,60,1,59/112
1401EE65,68,2,66/112
1401CS70,76,2,74/112
1401ME57,88,0,88/112
1401CB29,36,1,35/112
1401CE51,88,0,88/112
1401ME60,104,1,103/112
1401ME13,56,6,50/112
1401EE43,64,7,57/112
1401ME51,52,0,52/112
1401EE26,88,3,85/112
1401ME56,72,7,65/112
1401ME62,80,0,80/112
1401CB14,104,2,102/112
1401ME65,76,4,72/112
1401CE42,72,2,70/112
1401EE73,60,5,55/112
1401CB22,84,2,82/112
1401ME50,60,12,48/112
1401CE55,88,3,85/112
1401CB61,80,8,72/112
1401EE83,80,1,79/112
1401MM01,104,0,104/112
1401MM27,68,4,64/112
1401CB55,60,4,56/112
1401CB33,56,3,53/112
1401CB50,60,0,60/112
1401ME66,88,2,86/112
1401CE36,20,1,19/112
1401CS26,92,0,92/112
1401CS61,68,1,67/112
1401CE03,72,6,66/112
1401ME54,76,2,74/112
1401EE69,48,1,47/112
1401MM34,100,1,99/112
1401EE39,36,8,28/112
1401CB18,76,2,74/112
1401ME74,32,5,27/112
1401CB09,96,1,95/112
1401EE46,88,3,85/112
1401CS55,84,1,83/112
1401EE35,96,3,93/112
1401ME75,96,1,95/112
1401EE11,64,3,61/112
1401EE51,80,2,78/112
1401ME55,40,4,36/112
1401CE33,68,2,66/112
1401CS22,88,3,85/112
1401CE23,64,4,60/112
1401CS23,96,4,92/112
1401ME38,88,3,85/112
1401CS11,92,1,91/112
1401CE41,68,9,59/112
1401EE44,56,1,55/112
1401CS65,24,16,8/112
